category,category_label,name,legal_name,town,url,website
detskiy-otdyh,Детский отдых / лагерь,Ковчег,Ковчег,Раменское,https://moskva.fulledu.ru/detskiy-otdyh/kovcheg/about/,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Active-camp,Коллекция приключений. Active-camp,,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-active-camp/about/,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Первая тропа,Коллекция приключений. Первая тропа,,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-pervaya-tropa/about/,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Рыцарский замок,Коллекция приключений. Рыцарский замок,,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-rycarskiy-zamok/about/,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Секретные материалы,Коллекция приключений. Секретные материалы,поселок Быково,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-sekretnye-materialy/about/,
detskiy-otdyh,Детский отдых / лагерь,Коллекция приключений. Чудеса науки,Коллекция приключений. Чудеса науки,садовое товарищество Подмосковье,https://moskva.fulledu.ru/detskiy-otdyh/kollekciya-priklucheniy-chudesa-nauki/about/,
detskiy-otdyh,Детский отдых / лагерь,Команда,Команда,поселок гидроузла им. Куйбышева,https://moskva.fulledu.ru/detskiy-otdyh/molodezhnyy-proekt-quot911quot/about/,http://vg.mskobr.ru/add_edu/obrazovatel_nyj_centr_komanda/
detskiy-otdyh,Детский отдых / лагерь,Команда,Команда,поселок гидроузла им. Куйбышева,https://moskva.fulledu.ru/detskiy-otdyh/komanda/about/,
detskiy-otdyh,Детский отдых / лагерь,Командор. Олимп для чемпионов,Командор. Олимп для чемпионов,село Семеновское,https://moskva.fulledu.ru/detskiy-otdyh/komandor-olimp-dlya-chempionov/about/,
detskiy-otdyh,Детский отдых / лагерь,КОНТАКТ,КОНТАКТ,деревня Волково,https://moskva.fulledu.ru/detskiy-otdyh/kontakt/about/,
detskiy-otdyh,Детский отдых / лагерь,"КОНТАКТ.Театральный фестиваль""Пролог""","КОНТАКТ.Театральный фестиваль""Пролог""",поселок Володарского,https://moskva.fulledu.ru/detskiy-otdyh/kontaktteatralnyy-festivalquotprologquot/about/,
detskiy-otdyh,Детский отдых / лагерь,Краски,Краски,деревня Колтышево,https://moskva.fulledu.ru/detskiy-otdyh/kraski/about/,
detskiy-otdyh,Детский отдых / лагерь,Ланат,Ланат,деревня Волково,https://moskva.fulledu.ru/detskiy-otdyh/lanat/about/,https://lanat.ru
detskiy-otdyh,Детский отдых / лагерь,Ленинские искры,Ленинские искры,село Зюзино,https://moskva.fulledu.ru/detskiy-otdyh/leninskie-iskry/about/,
detskiy-otdyh,Детский отдых / лагерь,Летний городской лагерь Кругосветка,Летний городской лагерь Кругосветка,Королев,https://moskva.fulledu.ru/detskiy-otdyh/letniy-gorodskoy-lager-krugosvetka/about/,http://www.vsevdomike.com/
detskiy-otdyh,Детский отдых / лагерь,Летний городской лагерь Мышематики от Жени Кац,Летний городской лагерь Мышематики от Жени Кац,Москва,https://moskva.fulledu.ru/detskiy-otdyh/letniy-gorodskoy-lager-myshematiki-ot-zheni-kac/about/,http://solnyshkovo.ru/city-camp.html
detskiy-otdyh,Детский отдых / лагерь,Летняя зоолого-ботаническая школа,Летняя зоолого-ботаническая школа,Звенигород,https://moskva.fulledu.ru/detskiy-otdyh/letnyaya-zoologo-botanicheskaya-shkola/about/,http://kpdbio.ru/
detskiy-otdyh,Детский отдых / лагерь,Летняя техническая школа,Летняя техническая школа,Звенигород,https://moskva.fulledu.ru/detskiy-otdyh/letnyaya-tehnicheskaya-shkola/about/,
detskiy-otdyh,Детский отдых / лагерь,Летняя школа по медицине,Летняя школа по медицине,Пущино,https://moskva.fulledu.ru/detskiy-otdyh/letnyaya-shkola-po-medicine/about/,
detskiy-otdyh,Детский отдых / лагерь,Летняя школа по химии,Летняя школа по химии,Пущино,https://moskva.fulledu.ru/detskiy-otdyh/letnyaya-shkola-po-himii/about/,
detskiy-otdyh,Детский отдых / лагерь,Лига Экстрима,Лига Экстрима,поселок Быково,https://moskva.fulledu.ru/detskiy-otdyh/liga-ekstrima/about/,http://supercamp.ru
detskiy-otdyh,Детский отдых / лагерь,Лига Экстрима,Лига Экстрима,Серпухов,https://moskva.fulledu.ru/detskiy-otdyh/liga-ekstrima-5579-8900/about/,
detskiy-otdyh,Детский отдых / лагерь,Лидер - Успешный старт,Лидер - Успешный старт,деревня Малое Уварово,https://moskva.fulledu.ru/detskiy-otdyh/lider-uspeshnyy-start/about/,
detskiy-otdyh,Детский отдых / лагерь,Лидер - Успешный старт,Лидер - Успешный старт,Голицыно,https://moskva.fulledu.ru/detskiy-otdyh/lider-uspeshnyy-start-4076-2801/about/,
detskiy-otdyh,Детский отдых / лагерь,Лидер - Шаг вперед,Лидер - Шаг вперед,Голицыно,https://moskva.fulledu.ru/detskiy-otdyh/lider-shag-vpered/about/,
detskiy-otdyh,Детский отдых / лагерь,Лидер в кадре,Лидер в кадре,деревня Мякишево,https://moskva.fulledu.ru/detskiy-otdyh/lider-v-kadre/about/,
detskiy-otdyh,Детский отдых / лагерь,Лидер танцпола,Лидер танцпола,деревня Малое Уварово,https://moskva.fulledu.ru/detskiy-otdyh/lider-tancpola/about/,
detskiy-otdyh,Детский отдых / лагерь,Лидер ФЕСТ,Лидер ФЕСТ,деревня Малое Уварово,https://moskva.fulledu.ru/detskiy-otdyh/lider-fest/about/,
detskiy-otdyh,Детский отдых / лагерь,Лидер. Лагерь выходного дня,Лидер. Лагерь выходного дня,Голицыно,https://moskva.fulledu.ru/detskiy-otdyh/lider-lager-vyhodnogo-dnya/about/,
detskiy-otdyh,Детский отдых / лагерь,ЛИДЕРГРАД,ЛИДЕРГРАД,деревня Большое Буньково,https://moskva.fulledu.ru/detskiy-otdyh/lidergrad/about/,
detskiy-otdyh,Детский отдых / лагерь,Максимум,Максимум,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/maksimum-2718-792/about/,
detskiy-otdyh,Детский отдых / лагерь,Мастер-класс. Англия приехала в Россию,Мастер-класс. Англия приехала в Россию,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/master-klass-angliya-priehala-v-rossiu/about/,
detskiy-otdyh,Детский отдых / лагерь,Мастер-класс. Русская смена,Мастер-класс. Русская смена,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/master-klass-russkaya-smena/about/,
detskiy-otdyh,Детский отдых / лагерь,Метеор,Метеор,село Непецино,https://moskva.fulledu.ru/detskiy-otdyh/meteor/about/,
detskiy-otdyh,Детский отдых / лагерь,Московия,Московия,деревня Пешки,https://moskva.fulledu.ru/detskiy-otdyh/moskoviya/about/,
detskiy-otdyh,Детский отдых / лагерь,Мотор,Мотор,деревня Любучаны,https://moskva.fulledu.ru/detskiy-otdyh/motor/about/,
