category,category_label,name,legal_name,town,url,website,website_source
detskiy-otdyh,Детский отдых / лагерь,Авеста-Парк,Авеста-Парк,деревня Гульнево,https://moskva.fulledu.ru/detskiy-otdyh/avesta-park/about/,https://apartos.ru/msk/camps/avesta-park,search:auto
detskiy-otdyh,Детский отдых / лагерь,Академия звезд. Весенний MIX,Академия звезд. Весенний MIX,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/akademiya-zvezd-vesenniy-mix/about/,https://www.camp.meteorfootball.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Академия тенниса,Академия тенниса,деревня Жерновка,https://moskva.fulledu.ru/detskiy-otdyh/akademiya-tennisa/about/,https://ds20spb.ru/upload/editor/files/edu/23_24/10/edu-pr-24.pdf,search:auto
detskiy-otdyh,Детский отдых / лагерь,Аллея звезд,Аллея звезд,поселок Огниково,https://moskva.fulledu.ru/detskiy-otdyh/alleya-zvezd/about/,https://ognikovo.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Английский клуб 1st Step,Английский клуб 1st Step,поселок Ситники,https://moskva.fulledu.ru/detskiy-otdyh/angliyskiy-klub-1st-step/about/,https://camp.mosreg.ru/camps/60,search:auto
detskiy-otdyh,Детский отдых / лагерь,Английский клуб Tradition,Английский клуб Tradition,деревня Ястребки,https://moskva.fulledu.ru/detskiy-otdyh/angliyskiy-klub-tradition/about/,https://pspu.ru/upload/science/XXI+ВЕК+–+ВРЕМЯ+МОЛОДЫХ+2025+(1).pdf,search:auto
detskiy-otdyh,Детский отдых / лагерь,БАРС,БАРС,,https://moskva.fulledu.ru/detskiy-otdyh/bars/about/,,
detskiy-otdyh,Детский отдых / лагерь,БАРС,БАРС,,https://moskva.fulledu.ru/detskiy-otdyh/bars-914-9752/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-multfilm.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Бесконечная История,Бесконечная История,деревня Лужки,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-prikluchencheskiy-lager-beskonechnaya-istoriya/about/,https://camp.mosreg.ru/camps/108,search:auto
detskiy-otdyh,Детский отдых / лагерь,Великое Княжество,Великое Княжество,коттеджный посёлок Малаховка-Парк,https://moskva.fulledu.ru/detskiy-otdyh/velikoe-knyazhestvo/about/,https://move.ru/kottedzhnye_poselki/kottedghnyy_poselok_malahovkapark_1524,search:auto
detskiy-otdyh,Детский отдых / лагерь,Веревочный городок FunParks,Веревочный городок FunParks,Одинцово,https://moskva.fulledu.ru/detskiy-otdyh/verevochnyy-gorodok-funparks/about/,https://mapandi.ru/funparks-verevochnyj-park,search:auto
detskiy-otdyh,Детский отдых / лагерь,Весенний конный лагерь VSedlo.ru,Весенний конный лагерь VSedlo.ru,деревня Жаворонки,https://moskva.fulledu.ru/detskiy-otdyh/vesenniy-konnyy-lager-vsedloru/about/,http://www.camps.ru/association/camps/camps-catalog/camps-catalog-russia/1073-vsedlo-letniy-konnyy-lager.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Весенняя биологическая школа,Весенняя биологическая школа,Звенигород,https://moskva.fulledu.ru/detskiy-otdyh/vesennyaya-biologicheskaya-shkola/about/,https://mosreg.ru/sobytiya/novosti/news-submoscow/gubernator-proveril-rabotu-obnovlennoi-shkoly-8-v-khimkakh,search:auto
detskiy-otdyh,Детский отдых / лагерь,Вселенная Детства,Вселенная Детства,Москва,https://moskva.fulledu.ru/detskiy-otdyh/vselennaya-detstva/about/,https://radost.mskobr.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Вступление,Вступление,,https://moskva.fulledu.ru/detskiy-otdyh/vstuplenie/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-multfilm.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Вуаля в Зеленом шуме,Вуаля в Зеленом шуме,деревня Лужки,https://moskva.fulledu.ru/detskiy-otdyh/vualya-v-zelenom-shume/about/,https://meboom.ru/furniture/lager-spalnya,search:auto
detskiy-otdyh,Детский отдых / лагерь,Вуаля. Широкая Масленица,Вуаля. Широкая Масленица,деревня Юрлово,https://moskva.fulledu.ru/detskiy-otdyh/vualya-shirokaya-maslenica/about/,https://amwine.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Вымпел,Вымпел,деревня Ширяево,https://moskva.fulledu.ru/detskiy-otdyh/vympel/about/,https://www.best-camp.ru/moscow/vimpel,search:auto
detskiy-otdyh,Детский отдых / лагерь,Галилео Кидс,Галилео Кидс,деревня Малое Уварово,https://moskva.fulledu.ru/detskiy-otdyh/galileo-kids/about/,https://vlagere.ru/camp/galileo-kids,search:auto
detskiy-otdyh,Детский отдых / лагерь,Ган Исроэль,Ган Исроэль,поселок Хуторки,https://moskva.fulledu.ru/detskiy-otdyh/gan-isroel/about/,https://camp.mosreg.ru/camps/156,search:auto
detskiy-otdyh,Детский отдых / лагерь,Гольф Академия,Гольф Академия,коттеджный поселок Сорочаны,https://moskva.fulledu.ru/detskiy-otdyh/golf-akademiya/about/,https://mycamps.ru/camp/ga-kids-golf-akademiya,search:auto
detskiy-otdyh,Детский отдых / лагерь,ГольфСтрим,ГольфСтрим,Химки,https://moskva.fulledu.ru/detskiy-otdyh/golfstrim/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-gornij.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Городские Странники,Городские Странники,Москва,https://moskva.fulledu.ru/detskiy-otdyh/gorodskie-stranniki/about/,https://vlagere.ru/camp/urban-wanderers,search:auto
detskiy-otdyh,Детский отдых / лагерь,Городской лагерь ЗИЛ,Городской лагерь ЗИЛ,Москва,https://moskva.fulledu.ru/detskiy-otdyh/gorodskoy-lager-zil/about/,https://zid.ru/o-zavode/sotsialnaya-politika/detskiy-lager-solnechnyy,search:auto
detskiy-otdyh,Детский отдых / лагерь,Городской спортивный лагерь BUSHIDO,Городской спортивный лагерь BUSHIDO,Королев,https://moskva.fulledu.ru/detskiy-otdyh/gorodskoy-sportivnyy-lager-bushido/about/,https://sportschools.ru/gorod-Mytishchi/sport-Wrestling-martial-arts/Deti,search:auto
detskiy-otdyh,Детский отдых / лагерь,Гусёнок,Гусёнок,деревня Поздняково,https://moskva.fulledu.ru/detskiy-otdyh/gusnok/about/,https://mycamps.ru/camps/rossiya/moskva,search:auto
detskiy-otdyh,Детский отдых / лагерь,Дерево сказок,Дерево сказок,Москва,https://moskva.fulledu.ru/detskiy-otdyh/derevo-skazok/about/,https://evpat.ru/detskij-otdykh-detskie-lagerya-detskie-sanatorii/detskij-lager-multfilm.html,search:auto
detskiy-otdyh,Детский отдых / лагерь,Детская здравница имени Ю.А. Гагарина,Детская здравница имени Ю.А. Гагарина,деревня Петрово,https://moskva.fulledu.ru/detskiy-otdyh/detskaya-zdravnica-imeni-ua-gagarina/about/,https://camp.mosreg.ru/camps/11,search:auto
detskiy-otdyh,Детский отдых / лагерь,Детские лагеря Дмитрия и Матвея Шпаро. Большое приключение.,Детские лагеря Дмитрия и Матвея Шпаро. Большое приключение.,Руза,https://moskva.fulledu.ru/detskiy-otdyh/detskie-lagerya-dmitriya-i-matveyashparo-bolshoe-prikluchenieotkrytie/about/,https://pro-camp.ru,search:auto
detskiy-otdyh,Детский отдых / лагерь,Детский Active Клуб,Детский Active Клуб,Москва,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-active-klub/about/,https://campik.ru/camps/detskij-active-klub,search:auto
detskiy-otdyh,Детский отдых / лагерь,Детский оздоровительный лагерь им.Ю. А. Гагарина,Детский оздоровительный лагерь им.Ю. А. Гагарина,деревня Костино,https://moskva.fulledu.ru/detskiy-otdyh/detskiy-ozdorovitelnyy-lager-imu-a-gagarina/about/,https://detzdrav.ru,search:auto
