category,category_label,name,legal_name,town,url,website
school,Школа,Cредняя общеобразовательная школа №3 имени С.А. Красовского посёлка Монино Щёлковского муниципального района Московской области,Cредняя общеобразовательная школа №3 имени С.А. Красовского посёлка Монино Щёлковского муниципального района Московской области,поселок городского типа Монино,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-3-imeni-sakrasovskogo-p-monino/about/,
school,Школа,Cредняя общеобразовательная школа №4,Cредняя общеобразовательная школа №4,Красноармейск,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-4-5337-27913/about/,
school,Школа,cредняя общеобразовательная школа №4,cредняя общеобразовательная школа №4,Егорьевск,https://moskva.fulledu.ru/school/shkola-mbou-sosh-4-5301-4644/about/,
school,Школа,cредняя общеобразовательная школа №4 имени Петра Ильича Климука Щёлковского муниципального района Московской области,cредняя общеобразовательная школа №4 имени Петра Ильича Климука Щёлковского муниципального района Московской области,Щелково,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-4-2107-530533/about/,
school,Школа,Cредняя общеобразовательная школа №5 с углубленным изучением отдельных предметов,Cредняя общеобразовательная школа №5 с углубленным изучением отдельных предметов,Подольск,https://moskva.fulledu.ru/school/shkola-5-s-uglublennym-izucheniem-otdelnyh-predmetov-6754-171895/about/,
school,Школа,Cредняя общеобразовательная школа №8 города Красногорска,Cредняя общеобразовательная школа №8 города Красногорска,Красногорск,https://moskva.fulledu.ru/school/shkola-8-6248-199540/about/,
school,Школа,EngWish LangWish,EngWish LangWish,поселок городского типа Свердловский,https://moskva.fulledu.ru/school/engwish-langwish/about/,
school,Школа,Forum School,"Автономная некоммерческая общеобразовательная организация ""Таланты и способности""",Химки,https://moskva.fulledu.ru/school/forum-school-himki/about/,
school,Школа,Gimnasium. Школа героев,Gimnasium. Школа героев,деревня Жуковка,https://moskva.fulledu.ru/school/gimnasium-shkola-geroev/about/,
school,Школа,II учебный корпус,Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1287,Москва,https://moskva.fulledu.ru/school/srednyaya-obscheobrazovatelnaya-shkola-704/about/,
school,Школа,Music Stars,Music Stars,деревня Жуковка,https://moskva.fulledu.ru/school/music-stars/about/,
school,Школа,Step-English - Курсы английского языка на ВДНХ,Step-English - Курсы английского языка на ВДНХ,Москва,https://moskva.fulledu.ru/school/step-english-kursy-angliyskogo-yazyka-na-vdnh/about/,
school,Школа,XXI век,XXI век,Москва,https://moskva.fulledu.ru/school/shkola-xxi-vek/about/,
school,Школа,"«Каширская коррекционная общеобразовательная школа-интернат ""","«Каширская коррекционная общеобразовательная школа-интернат """,деревня Корыстово,https://moskva.fulledu.ru/school/mskou-kashirskaya-specialnaya-korrekcionnaya-obscheobrazovatelnaya-shkola-internat-viii-vida/about/,
school,Школа,«Лицей №3» им. Главного маршала авиации А.Е. Голованова,«Лицей №3» им. Главного маршала авиации А.Е. Голованова,Дзержинский,https://moskva.fulledu.ru/school/shkola-mbou-licey-3/about/,
